Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Match,Development,DevelopmentScore,DevelopmentScore2,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,MatingSystem,ParentalCare,ParentalCare2,Transparent
Apogon_retrosella,Apogon,Apogonidae,M,NA,NA,bright orange,Yellow-Orange-Amber,Carotenoid,Black-Orange,Yes,NA,NA,NA,NA,NA,NA,25.81741172,211.5282019,0.212906798,-108.5019006,23.35632519,23.35632519,2,20.72083812,0.518038638,NA,NA,NA,0
Ariopsis_felis,Ariopsis,Ariidae,M,B,NA,greenish,Green,Green,Grey,No,Demersal,1,0,NA,NA,NA,24.8141947,213.9726017,0.20851891,-87.10717485,27.45461376,27.45461376,2,18.13251154,-0.013092482,NA,Paternal,Monoparental,0
Neoarius_graeffei,Neoarius,Ariidae,M,B,F,transparent,Transparent,None,Blue-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Sciades_herzbergii,Sciades,Ariidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,27.6508827,205.1082499,0.2768262,-49.55081273,0.569173146,0.569173146,2,27.36976741,1.125606577,NA,Paternal,Monoparental,0
Atherinops_affinis,Atherinops,Atherinopsidae,M,B,NA,yellow,Yellow-Orange-Amber,Carotenoid,Grey*,No,Demersal,1,0,NA,NA,NA,13.01784633,272.7853298,0.912138797,-126.3749548,46.90905394,46.90905394,0,-41.84802034,-0.666251511,NA,NA,NA,0
Atherinopsis_californiensis,Atherinopsis,Atherinopsidae,M,NA,NA,yellow,Yellow-Orange-Amber,Carotenoid,Grey-Yellow,Yes,Demersal,1,0,NA,NA,NA,18.73177888,239.2206775,0.559124104,-116.6727706,30.77383607,30.77383607,0,-7.806269213,-1.29401675,NA,NA,NA,0
Belone_belone,Belone,Belonidae,M,B,NA,transparent,Transparent,None,Blue-Green-Grey,No,Demersal,1,0,NA,NA,NA,16.04575432,260.8845138,0.312515178,10.01561517,47.99891828,47.99891828,0,-29.59170895,0.095640338,NA,None,None,1
Catostomus_catostomus,Catostomus,Catostomidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Orange,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Sarotherodon_melanotheron,Sarotherodon,Cichlidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Grey-Yellow*,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Paternal,Monoparental,0
Harengula_jaguana,Harengula,Clupeidae,M,B,NA,clear,Transparent,None,Black-Grey,No,NA,NA,NA,NA,NA,NA,26.37889908,208.040424,0.20519133,-71.28651213,13.79480069,13.79480069,0,24.25219301,0.421108798,NA,None,None,1
