Species,Pigment
Apogon_retrosella,Carotenoid
Ariopsis_felis,Green
Neoarius_graeffei,None
Sciades_herzbergii,Carotenoid
Atherinops_affinis,Carotenoid
Atherinopsis_californiensis,Carotenoid
Belone_belone,None
Catostomus_catostomus,Carotenoid
Sarotherodon_melanotheron,Carotenoid
Harengula_jaguana,None
Clinocottus_recalvus,Carotenoid
Abramis_brama,Carotenoid
Blicca_bjoerkna,Carotenoid
Carassius_carassius,None
Leuciscus_idus,Carotenoid
Rutilus_rutilus,Carotenoid
Scardinius_erythrophthalmus,None
Remora_osteochir,None
Anchoa_mitchilli,None
Hirundichthys_speculiger,Carotenoid
Hyporhamphus_unifasciatus,Carotenoid
Blepsias_cirrhosus,Melanin
Oxymonacanthus_longirostris,None
Psenes_sio,Carotenoid
Hypomesus_pretiosus,Carotenoid
Citharichthys_arctifrons,None
Perca_fluviatilis,Guanine
Lepidopsetta_bilineata,Carotenoid
Regalecus_glesne,Carotenoid
Cynoscion_nothus,None
Larimus_fasciatus,None
Menticirrhus_saxatilis,Carotenoid
Pareques_iwamotoi,None
Auxis_thazard,None
Corythoichthys_haematopterus,Carotenoid
Hippocampus_capensis,Carotenoid
Hippocampus_ingens,Carotenoid
Hippocampus_trimaculatus,Carotenoid
Microphis_leiaspis,Carotenoid
Syngnathus_abaster,Carotenoid
Syngnathus_fuscus,Carotenoid
Desmodema_polystictum,Carotenoid
Zu_cristatus,Carotenoid
Lycodapus_mandibularis,None
Zoarces_americanus,Carotenoid
Oryzias_latipes,None
Brycinus_longipinnis,Carotenoid
Oreochromis_aureus,Carotenoid
Oreochromis_spilurus,Carotenoid
Sarotherodon_galilaeus,Carotenoid
Pelmatolapia_mariae,Green
Coptodon_zillii,Green
Coptodon_rendalli,Carotenoid
Nematalosa_erebi,None
Alosa_pseudoharengus,Carotenoid
Cottus_asper,Carotenoid
Cottus_aleuticus,Carotenoid
Cottus_cognatus,Carotenoid
Leuciscus_leuciscus,Carotenoid
Tinca_tinca,Carotenoid
Squalius_cephalus,Carotenoid
Cyprinus_carpio,Carotenoid
Alburnus_alburnus,Carotenoid
Gobio_gobio,Carotenoid
Hypseleotris_compressa,None
Culaea_inconstans,Carotenoid
Lota_lota,Carotenoid
Macrognathus_aral,Green
Nandus_nandus,None
Thaleichthys_pacificus,None
Osmerus_eperlanus,Carotenoid
Macquaria_novemaculeata,None
Macquaria_colonorum,None
Nannoperca_vittata,None
Etheostoma_olmstedi,None
Sander_lucioperca,Carotenoid
Polycentrus_schomburgkii,Carotenoid
Retropinna_semoni,Carotenoid
Oncorhynchus_kisutch,Carotenoid
Oncorhynchus_tshawytscha,Carotenoid
Oncorhynchus_mykiss,Carotenoid
Oncorhynchus_nerka,Carotenoid
Monopterus_albus,Carotenoid
Microphis_cuncalus,Carotenoid
Enneacampus_ansorgii,Carotenoid
Hippichthys_parvicarinatus,Carotenoid
Leiopotherapon_unicolor,None
Atherina_presbyter,None
Salaria_pavo,Carotenoid
Callionymus_sagitta,None
Alosa_mediocris,None
Phoxinus_phoxinus,Carotenoid
Cyprinodon_variegatus,None
Encrasicholina_punctifer,None
Lycengraulis_grossidens,None
Esox_lucius,Carotenoid
Fundulus_majalis,Carotenoid
Fundulus_xenicus,None
Galaxias_fasciatus,None
Galaxias_postvectis,None
Apeltes_quadracus,Carotenoid
Lepadogaster_purpurea,Carotenoid
Trachelochismus_melobesia,Carotenoid
Gobiosoma_bosc,Carotenoid
Lepidogobius_lepidus,Carotenoid
Neogobius_melanostomus,Carotenoid
Sicyopterus_lagocephalus,Carotenoid
Tridentiger_trigonocephalus,Carotenoid
Icosteus_aenigmaticus,Carotenoid
Lepisosteus_osseus,Carotenoid
Lophotus_lacepede,Carotenoid
Chelon_labrosus,None
Patagonotothen_ramsayi,Carotenoid
Ostracion_meleagris,None
Paralichthys_dentatus,None
Paralichthys_olivaceus,Carotenoid
Eurypegasus_draconis,None
Psettichthys_melanostictus,None
Stokellia_anisodon,None
Coregonus_albula,Carotenoid
Coregonus_nasus,Carotenoid
Coregonus_sardinella,Carotenoid
Prosopium_cylindraceum,Carotenoid
Salmo_salar,Carotenoid
Cheilotrema_saturnum,None
Cynoscion_regalis,None
Scomber_japonicus,None
Centropristis_striata,None
Filicampus_tigris,Carotenoid
Hippichthys_penicillus,Carotenoid
Hippocampus_abdominalis,Carotenoid
Hippocampus_barbouri,Carotenoid
Hippocampus_erectus,Carotenoid
Hippocampus_kuda,Carotenoid
Hippocampus_subelongatus,Carotenoid
Syngnathus_phlegon,Carotenoid
Syngnathus_rostellatus,Carotenoid
Syngnathus_scovelli,Carotenoid
Syngnathus_typhle,Carotenoid
Canthigaster_rostrata,None
Canthigaster_valentini,Carotenoid
Zoarces_fedorovi,Carotenoid
Gramma_loreto,None
Nemipterus_virgatus,None
Argyropelecus_hemigymnus,None
Eumegistus_brevorti,None
Cubiceps_baxteri,Melanin
Gadus_morhua,None
Psenes_pellucidus,Melanin
Lycodes_cortezianus,None
Eumecichthys_fiski,None
Merluccius_merluccius,None
Icichthys_lockingtoni,None
Thyrsites_atun,None
Trachipterus_fukuzakii,Carotenoid
Trachipterus_ishikawae,None
Cyclopterus_lumpus,Carotenoid
Dicentrarchus_labrax,None
Lepidorhombus_whiffiagonis,None
Thunnus_obesus,None
Chaenocephalus_aceratus,Carotenoid
Argentina_sphyraena,None
Lophius_piscatorius,Carotenoid
Anguilla_anguilla,None
Champsocephalus_gunnari,Carotenoid
Limanda_ferruginea,None
Hippoglossoides_elassodon,None
Chionodraco_hamatus,Carotenoid
Bellottia_apoda,Carotenoid
Hime_japonica,None
Eumicrotremus_orbis,None
Glyptocephalus_cynoglossus,None
Lepidopus_altifrons,None
Xiphias_gladius,None
Thunnus_thynnus,None
Trachipterus_altivelis,Carotenoid
Pseudochaenichthys_georgianus,Carotenoid
Xiphister_atropurpureus,Guanine
Myoxocephalus_scorpius,Carotenoid
Hemilepidotus_hemilepidotus,Carotenoid
Callionymus_lyra,None
Lepidonotothen_squamifrons,Carotenoid
Hippoglossus_hippoglossus,None
Cepola_macrophthalma,None
Parachaenichthys_charcoti,Carotenoid
Opisthocentrus_ocellatus,None
Ctenogobius_boleosoma,Carotenoid
Trachurus_symmetricus,None
Engraulis_eurystole,None
Maurolicus_muelleri,None
Limanda_limanda,None
Epinephelus_guttatus,None
Syngnathus_leptorhynchus,Carotenoid
Liopsetta_glacialis,None
Porichthys_notatus,Carotenoid
Clupea_harengus,None
Spondyliosoma_cantharus,Carotenoid
Phytichthys_chirus,Guanine
Pseudopleuronectes_americanus,None
Anoplarchus_purpurescens,Guanine
Brama_dussumieri,None
Scomber_colias,None
Parachaenichthys_georgianus,Carotenoid
Agonus_cataphractus,Carotenoid
Ophichthus_gomesii,Carotenoid
Oncorhynchus_keta,Carotenoid
Scomberesox_saurus,None
Antennarius_striatus,Carotenoid
Pareques_umbrosus,None
Sardinella_longiceps,None
Platycephalus_speculator,None
Salmo_trutta,Carotenoid
Scophthalmus_aquosus,None
Icelinus_quadriseriatus,Green
Taurulus_bubalis,Carotenoid
Remora_remora,Carotenoid
Istiophorus_platypterus,None
Oncorhynchus_gorbuscha,Carotenoid
Mycteroperca_phenax,None
Pleuronichthys_decurrens,None
Ompok_bimaculatus,Carotenoid
Desmodema_lorum,Carotenoid
Arius_maculatus,Carotenoid
Hemitripterus_americanus,Carotenoid
Makaira_mazara,None
Spicara_smaris,None
Chitonotus_pugetensis,Carotenoid
Cubiceps_pauciradiatus,Melanin
Paramonacanthus_japonicus,None
Bairdiella_chrysoura,None
Nuchequula_nuchalis,None
Gobionotothen_gibberifrons,Carotenoid
Prognathodes_aculeatus,None
Dactylopterus_volitans,None
Lactoria_diaphana,None
Parophrys_vetulus,None
Platichthys_stellatus,Carotenoid
Sphyraena_borealis,None
Balistes_capriscus,None
Myoxocephalus_quadricornis,Carotenoid
Hirundichthys_coromandelensis,None
Liparis_liparis,None
Sarda_orientalis,None
Acipenser_sturio,Melanin
Pomacanthus_arcuatus,None
Pegasus_lancifer,None
Acanthurus_nigroris,None
Acanthurus_triostegus,None
Corythoichthys_nigripectus,Carotenoid
Echeneis_naucrates,None
Pegusa_lascaris,None
Aluterus_schoepfii,Green
Serranus_cabrilla,None
Neoclinus_blanchardi,None
Orthopristis_chrysoptera,None
Hippocampus_fuscus,Carotenoid
Polydactylus_oligodon,None
Holacanthus_tricolor,None
Stephanolepis_hispidus,Green
Solea_ovata,Carotenoid
Ophidion_scrippsae,None
Epinephelus_coioides,None
Hippocampus_bargibanti,Carotenoid
Bathymaster_derjugini,Guanine
Corythoichthys_intestinalis,Carotenoid
Labrus_bergylta,Guanine
Pseudogramma_polyacantha,Carotenoid
Seriola_dumerili,Carotenoid
Anchoa_lyolepis,None
Alosa_aestivalis,Carotenoid
Cynoscion_nebulosus,None
Acipenser_brevirostrum,Carotenoid
Lactoria_fornasini,None
Gobius_niger,None
Balistapus_undulatus,None
Diodon_hystrix,None
Doryrhamphus_excisus_excisus,Carotenoid
Caesio_caerulaurea,None
Opisthonema_oglinum,None
Coris_julis,None
Tautoga_onitis,None
Centropyge_argi,None
Fundulus_bermudae,None
Photoblepharon_palpebratum,None
Histrio_histrio,None
Bagre_marinus,Carotenoid
Pterocaesio_digramma,None
Trachurus_trachurus,Carotenoid
Brevoortia_tyrannus,None
Escualosa_thoracata,Carotenoid
Anchoa_hepsetus,None
Cetengraulis_edentulus,None
Stolephorus_baganensis,None
Thryssa_hamiltonii,None
Lutjanus_kasmira,None
Syngnathus_louisianae,Carotenoid
Alosa_sapidissima,None
Acipenser_oxyrinchus,Carotenoid
Hippocampus_zosterae,Carotenoid
Entelurus_aequoreus,Carotenoid
Phycodurus_eques,Carotenoid
Dascyllus_marginatus,None
Oreochromis_shiranus,Carotenoid
Acanthurus_bahianus,None
Amphiprion_clarkii,Carotenoid
Thunnus_alalunga,None
Hippocampus_histrix,Carotenoid
Siganus_canaliculatus,None
Gobiusculus_flavescens,Melanin
Ciliata_septentrionalis,Carotenoid
Chaetodipterus_zonatus,None
Trachelochismus_pinnulatus,Carotenoid
Pseudophallus_mindii,Carotenoid
Dorosoma_cepedianum,Carotenoid
Haemulon_plumierii,None
Genyonemus_lineatus,None
Archosargus_probatocephalus,None
Platichthys_flesus,None
Pomacanthus_paru,None
Chasmodes_bosquianus,Carotenoid
Plotosus_lineatus,Carotenoid
Chirolophis_ascanii,None
Corythoichthys_flavofasciatus,Carotenoid
Nematalosa_nasus,None
Sillago_sihama,None
Salvelinus_alpinus,Carotenoid
Hippocampus_whitei,Carotenoid
Gymnocephalus_cernua,Guanine
Sphoeroides_maculatus,None
Oreochromis_niloticus,Carotenoid
Thryssa_mystax,None
Sciaena_umbra,None
Parablennius_ruber,Carotenoid
Chaetodon_capistratus,None
Cantherhines_pullus,Green
Hippocampus_hippocampus,Carotenoid
Zebrasoma_xanthurum,None
Arius_subrostratus,Carotenoid
Hirundichthys_rondeletii,None
Umbrina_roncador,None
Sarda_chiliensis,Carotenoid
Xiphister_mucosus,Guanine
Hippocampus_breviceps,Carotenoid
Hippocampus_comes,Carotenoid
Hippocampus_reidi,Carotenoid
Bothragonus_swanii,Melanin
Leuresthes_tenuis,Carotenoid
Membras_martinica,Carotenoid
Parablennius_tentacularis,Carotenoid
Astroscopus_guttatus,None
Amblyglyphidodon_leucogaster,Carotenoid
Muraenolepis_microps,Carotenoid
Syngnathus_schlegeli,Carotenoid
Encrasicholina_heteroloba,None
Oreochromis_mossambicus,Carotenoid
Abudefduf_saxatilis,Carotenoid
Corythoichthys_paxtoni,Carotenoid
Chilomycterus_schoepfii,None
Amphiprion_bicinctus,Carotenoid
Channa_striata,Carotenoid
Nerophis_lumbriciformis,Carotenoid
Syngnathus_floridae,Carotenoid
Scomberomorus_maculatus,None
Hippocampus_guttulatus,Carotenoid
Micrognathus_crinitus,Carotenoid
Syngnathus_acus,Carotenoid
Nerophis_maculatus,Carotenoid
Lepadogaster_candolii,Carotenoid
Opsanus_tau,Carotenoid
Coryphaena_hippurus,None
Ilypnus_gilberti,Carotenoid
Labrisomus_nuchipinnis,Carotenoid
Eubleekeria_splendens,None
Lethrinus_nebulosus,None
Corythoichthys_schultzi,Carotenoid
Cottus_gobio,Carotenoid
Corythoichthys_amplexus,Carotenoid
Gasterosteus_aculeatus,Carotenoid
Pseudobalistes_flavimarginatus,None
Diodon_holocanthus,None
Dinematichthys_iluocoeteoides,Carotenoid
Chanos_chanos,Carotenoid
Leucaspius_delineatus,None
Epinephelus_tauvina,None
Coryphaena_equiselis,None
Engraulis_mordax,None
Cheilopogon_hubbsi,Carotenoid
Makaira_nigricans,None
Merluccius_albidus,None
Auxis_rochei,None
Euthynnus_alletteratus,None
Scomber_scombrus,None
Thunnus_albacares,None
